text,next_word
['i'],hope
"['i', 'hope']",this
"['i', 'hope', 'this']",email
"['i', 'hope', 'this', 'email']",finds
"['i', 'hope', 'this', 'email', 'finds']",you
"['i', 'hope', 'this', 'email', 'finds', 'you']",well
['thank'],you
"['thank', 'you']",for
"['thank', 'you', 'for']",your
"['thank', 'you', 'for', 'your']",prompt
"['thank', 'you', 'for', 'your', 'prompt']",response
['i'],appreciate
"['i', 'appreciate']",your
"['i', 'appreciate', 'your']",valuable
"['i', 'appreciate', 'your', 'valuable']",input
"['i', 'appreciate', 'your', 'valuable', 'input']",on
"['i', 'appreciate', 'your', 'valuable', 'input', 'on']",this
"['i', 'appreciate', 'your', 'valuable', 'input', 'on', 'this']",matter
['please'],find
"['please', 'find']",attached
"['please', 'find', 'attached']",the
"['please', 'find', 'attached', 'the']",document
"['please', 'find', 'attached', 'the', 'document']",you
"['please', 'find', 'attached', 'the', 'document', 'you']",requested
['i'],am
"['i', 'am']",writing
"['i', 'am', 'writing']",to
"['i', 'am', 'writing', 'to']",inform
"['i', 'am', 'writing', 'to', 'inform']",you
"['i', 'am', 'writing', 'to', 'inform', 'you']",about
"['i', 'am', 'writing', 'to', 'inform', 'you', 'about']",the
"['i', 'am', 'writing', 'to', 'inform', 'you', 'about', 'the']",upcoming
"['i', 'am', 'writing', 'to', 'inform', 'you', 'about', 'the', 'upcoming']",event
['your'],attention
"['your', 'attention']",to
"['your', 'attention', 'to']",detail
"['your', 'attention', 'to', 'detail']",is
"['your', 'attention', 'to', 'detail', 'is']",truly
"['your', 'attention', 'to', 'detail', 'is', 'truly']",commendable
['i'],wanted
"['i', 'wanted']",to
"['i', 'wanted', 'to']",follow
"['i', 'wanted', 'to', 'follow']",up
"['i', 'wanted', 'to', 'follow', 'up']",on
"['i', 'wanted', 'to', 'follow', 'up', 'on']",our
"['i', 'wanted', 'to', 'follow', 'up', 'on', 'our']",recent
"['i', 'wanted', 'to', 'follow', 'up', 'on', 'our', 'recent']",conversation
['it'],was
"['it', 'was']",a
"['it', 'was', 'a']",pleasure
"['it', 'was', 'a', 'pleasure']",meeting
"['it', 'was', 'a', 'pleasure', 'meeting']",you
"['it', 'was', 'a', 'pleasure', 'meeting', 'you']",at
"['it', 'was', 'a', 'pleasure', 'meeting', 'you', 'at']",the
"['it', 'was', 'a', 'pleasure', 'meeting', 'you', 'at', 'the']",conference
"['i', 'am']",reaching
"['i', 'am', 'reaching']",out
"['i', 'am', 'reaching', 'out']",to
"['i', 'am', 'reaching', 'out', 'to']",discuss
"['i', 'am', 'reaching', 'out', 'to', 'discuss']",potential
"['i', 'am', 'reaching', 'out', 'to', 'discuss', 'potential']",collaboration
"['i', 'wanted', 'to']",express
"['i', 'wanted', 'to', 'express']",my
"['i', 'wanted', 'to', 'express', 'my']",gratitude
"['i', 'wanted', 'to', 'express', 'my', 'gratitude']",for
"['i', 'wanted', 'to', 'express', 'my', 'gratitude', 'for']",your
"['i', 'wanted', 'to', 'express', 'my', 'gratitude', 'for', 'your']",support
"[""let's""]",schedule
"[""let's"", 'schedule']",a
"[""let's"", 'schedule', 'a']",meeting
"[""let's"", 'schedule', 'a', 'meeting']",to
"[""let's"", 'schedule', 'a', 'meeting', 'to']",go
"[""let's"", 'schedule', 'a', 'meeting', 'to', 'go']",over
"[""let's"", 'schedule', 'a', 'meeting', 'to', 'go', 'over']",the
"[""let's"", 'schedule', 'a', 'meeting', 'to', 'go', 'over', 'the']",project
"[""let's"", 'schedule', 'a', 'meeting', 'to', 'go', 'over', 'the', 'project']",details
['your'],insights
"['your', 'insights']",have
"['your', 'insights', 'have']",been
"['your', 'insights', 'have', 'been']",instrumental
"['your', 'insights', 'have', 'been', 'instrumental']",in
"['your', 'insights', 'have', 'been', 'instrumental', 'in']",our
"['your', 'insights', 'have', 'been', 'instrumental', 'in', 'our']",decision-making
"['your', 'insights', 'have', 'been', 'instrumental', 'in', 'our', 'decision-making']",process
['i'],look
"['i', 'look']",forward
"['i', 'look', 'forward']",to
"['i', 'look', 'forward', 'to']",hearing
"['i', 'look', 'forward', 'to', 'hearing']",your
"['i', 'look', 'forward', 'to', 'hearing', 'your']",thoughts
"['i', 'look', 'forward', 'to', 'hearing', 'your', 'thoughts']",on
"['i', 'look', 'forward', 'to', 'hearing', 'your', 'thoughts', 'on']",this
"['i', 'look', 'forward', 'to', 'hearing', 'your', 'thoughts', 'on', 'this']",proposal
['please'],let
"['please', 'let']",me
"['please', 'let', 'me']",know
"['please', 'let', 'me', 'know']",if
"['please', 'let', 'me', 'know', 'if']",you
"['please', 'let', 'me', 'know', 'if', 'you']",require
"['please', 'let', 'me', 'know', 'if', 'you', 'require']",any
"['please', 'let', 'me', 'know', 'if', 'you', 'require', 'any']",further
"['please', 'let', 'me', 'know', 'if', 'you', 'require', 'any', 'further']",clarification
['congratulations'],on
"['congratulations', 'on']",your
"['congratulations', 'on', 'your']",recent
"['congratulations', 'on', 'your', 'recent']",achievements
"['i', 'am']",thrilled
"['i', 'am', 'thrilled']",to
"['i', 'am', 'thrilled', 'to']",be
"['i', 'am', 'thrilled', 'to', 'be']",a
"['i', 'am', 'thrilled', 'to', 'be', 'a']",part
"['i', 'am', 'thrilled', 'to', 'be', 'a', 'part']",of
"['i', 'am', 'thrilled', 'to', 'be', 'a', 'part', 'of']",this
"['i', 'am', 'thrilled', 'to', 'be', 'a', 'part', 'of', 'this']",exciting
"['i', 'am', 'thrilled', 'to', 'be', 'a', 'part', 'of', 'this', 'exciting']",initiative
['your'],professionalism
"['your', 'professionalism']",is
"['your', 'professionalism', 'is']",truly
"['your', 'professionalism', 'is', 'truly']",inspiring
['the'],attached
"['the', 'attached']",report
"['the', 'attached', 'report']",contains
"['the', 'attached', 'report', 'contains']",a
"['the', 'attached', 'report', 'contains', 'a']",comprehensive
"['the', 'attached', 'report', 'contains', 'a', 'comprehensive']",analysis
"['i', 'wanted', 'to']",share
"['i', 'wanted', 'to', 'share']",some
"['i', 'wanted', 'to', 'share', 'some']",exciting
